state,population,percentPositiveAugust2020
AK,731545,0.4
AL,4903185,5.4
AR,3017825,4.3
AZ,7278717,8.3
CA,39512223,5.6
CO,5758736,1.8
CT,3565287,3.3
DC,705749,3.2
DE,973764,5.8
FL,21477737,4.1
GA,10617423,6.9
HI,1415872,
IA,3155070,7.8
ID,1787065,6.5
IL,12671821,4.3
IN,6732219,2.1
KS,2913314,1.5
KY,4467673,2.1
LA,4648794,10.8
MA,6949503,4.6
MD,6045680,9.5
ME,1344212,0.4
MI,9986857,3.7
MN,5639632,3.9
MO,6137428,2.8
MS,2976149,8.4
MT,1068778,0.5
NC,10488084,2.3
ND,762062,2.6
NE,1934408,7.9
NH,1359711,0.9
NJ,8882190,14.7
NM,2096829,2.2
NV,3080156,5.4
NY,19453561,22.5
OH,11689100,2.2
OK,3956971,1.5
OR,4217737,2.5
PA,12801989,8.9
RI,1059361,2.8
SC,5148714,7.8
SD,884659,
TN,6833174,5.8
TX,28995881,5.7
UT,3205958,3.1
VA,8535519,3.9
VT,623989,0.5
WA,7614893,2.4
WI,5822434,1.5
WV,1792147,1.4
WY,578759,
